experimento,metodo,tempo,distancia
1,Depht-First,0.19060049997642636,5412417.483718732
1,Breadth-First,0.2578958999947645,28796.487085263045
1,Best-First,0.3023963999876287,121402.6160697712
1,A,6.58252789999824,27511.43404310673
1,A*,4.381213899992872,24778.715531802012
2,Depht-First,0.1431698999949731,5827793.2238905635
2,Breadth-First,0.23767709999810904,18663.116308267774
2,Best-First,0.27444999999715947,53880.87449857903
2,A,20.320241199980956,16020.531051210728
2,A*,8.196286100021098,13535.337384595703
3,Depht-First,0.17679960001260042,5953480.608677602
3,Breadth-First,0.2236591000109911,16137.454585183365
3,Best-First,0.30631099999300204,39313.55620913959
3,A,18.00008440000238,13420.42296288323
3,A*,7.4152576999913435,10122.061460708353
